frase;sentimento
isso mesmo fique furioso;raiva
isso tudo e um erro;tristeza
eu sou errada eu sou errante;tristeza
tenho muito dó do cachorro;tristeza
e dolorida a perda de um filho;tristeza
essa tragedia vai nos abalar para sempre;tristeza
perdi meus filhos;tristeza
ela nao para de chorar a morte do maridotristeza
ela perdeu um filho no abortotristeza
os pais deles morreram em um acidentetristeza
o aviao caiu no mar e nao tiveram mais noticiastristeza
perdi meu curso;tristeza
sou só uma chorona;tristeza
você e um chorão;tristeza
se arrependimento matasse;tristeza
me sinto deslocado em sala de aula;tristeza
foi uma passagem fúnebre;tristeza
nossa condolências e tristeza a sua perda;tristeza
desanimo, raiva, solidão ou vazies, depressão;tristeza
vivo te desanimando;tristeza
estou desanimado;tristeza
imperador sanguinário, depravado e temeroso;tristeza
meu ser esta em agonia;tristeza
este atrito entre nos tem que acabar;tristeza
a escuridão desola meu ser;tristeza
sua falsa preocupação;tristeza
sua falsidade me entristece;tristeza
quem esta descontente com os outros esta descontente consigo próprio;tristeza
a torcida esta descontente com a demissão do tecnico;tristeza
estou bastante aborrecido com o jornal;tristeza
me sinto solitário e entediado;tristeza
a vida e solitária para aqueles que não são falsos;tristeza
como com compulsão depois da depressão;tristeza
estou me desencorajando a viver;tristeza
ele desencoraja minhas vontades;tristeza
isso vai deprimindo por dentro;tristeza
acho que isso e defeituoso;tristeza
os remedios me derrubam na cama;tristeza
a depressão vai me derrubar;tristeza
suas desculpas são falsas;tristeza
não magoe as pessoas;tristeza
não seja babaca;raiva
minha bisavo faleceu;tristeza
sinto muito pela sua perda;tristeza
eu ganhei na loteria;alegria
eu fui promovido no trabalho;alegria
eu passei no vestibular;alegria
eu consegui um emprego novo;alegria
eu vou ir para a europa nas ferias;alegria
estou cansada;tristeza
preciso de um tempo para mim;tristeza
me sinto sobrecarregada;tristeza
estou exausta;tristeza
me sinto perdida;tristeza
estou confusa;tristeza
cansei de fazer ia;raiva
isso me irrita;raiva
isso me deixa irritada;raiva
isso me frustra;raiva
isso me deixa frustrada;raiva
isso me aborrece;raiva
isso me deixa aborrecida;raiva
isso me incomoda;raiva
vai se ferrar;raiva
vai tomar no cu;raiva
vaza daqui;raiva
cala a boca;raiva
vai se catar;raiva
vai se danar;raiva
vai pro inferno;raiva
vai tmnc;raiva
vai se foder;raiva
eu to de saco cheio;raiva
eu to puto;raiva
eu to puta;raiva
eu to irritado;raiva
cala a sua boca;raiva
vai se foder;raiva
porra;raiva
caralho;raiva
vai se ferrar;raiva
vai tomar no cu;raiva
vai para a puta que te pariu;raiva
vai se danar;raiva
vai pro inferno;raiva
quero que se foda;raiva
eu to de saco cheio;raiva
pq segunda e longe de domingo?;raiva
pq voce acha isso engraçado?;raiva
nao entendeo porque fez isso;raiva
mas que carai e isso?;raiva
ganhei na loteria da megsa sena;alegria
chorei muito com sua partida;tristeza
sinto muito a sua falta;tristeza
me sinto tão só;tristeza
a saudade me consome;tristeza
